TotalSentimentScore,Vaccine,Death,Shut,Spread,Date,Death_Count_Day,Positive_Count_Day,AvgTravel,Price
0.085861538,0,0,0,0,02/11/20,0,0,2.471428571,57.09428405761719
-0.09802142900000001,2,3,1,1,02/12/20,0,0,2.471428571,57.46237564086914
-0.093166667,0,3,0,0,02/13/20,0,0,2.471428571,58.616397857666016
0.00919,0,1,2,1,02/14/20,0,0,2.471428571,57.422584533691406
0.0,1,0,0,0,02/15/20,0,0,2.471428571,57.26838302612305
-0.1998,0,0,1,0,02/16/20,0,0,2.471428571,57.19128227233887
-0.190725,1,0,0,0,02/17/20,0,0,2.471428571,57.15273189544678
-0.034313333,0,2,0,1,02/18/20,0,0,2.471428571,57.11418151855469
-0.1442625,0,0,0,1,02/19/20,0,0,2.471428571,56.50732421875
-0.016272727,0,1,0,2,02/20/20,0,0,2.471428571,56.298404693603516
-0.1702,0,0,0,0,02/21/20,0,0,2.471428571,55.19412612915039
-0.0222375,3,1,1,0,02/22/20,0,0,2.471428571,53.88092803955078
0.013118181999999999,0,0,0,0,02/23/20,0,0,2.471428571,53.22432899475098
-0.21864166699999998,1,1,0,0,02/24/20,0,0,2.471428571,52.56772994995117
0.006063636,0,0,1,0,02/25/20,0,0,2.471428571,50.03086853027344
-0.090364706,1,2,0,1,02/26/20,2,0,2.471428571,46.48921203613281
0.043211110999999996,2,0,1,3,02/27/20,2,0,2.471428571,45.912200927734375
-0.019488889,2,1,1,1,02/28/20,4,0,2.471428571,45.16606521606445
-0.131395349,0,9,0,1,02/29/20,5,18,2.471428571,44.27070236206055
-0.081322222,0,0,1,2,03/01/20,8,50,2.81483871,43.823020935058594
-0.117296774,2,1,2,3,03/02/20,11,94,2.81483871,43.37533950805664
-0.11209000000000001,0,3,0,2,03/03/20,14,145,2.81483871,42.7983283996582
-0.17315333300000002,1,4,2,1,03/04/20,16,279,2.81483871,45.01683807373047
-0.0402525,0,5,0,4,03/05/20,20,367,2.81483871,39.22682571411133
-0.10300000000000001,0,4,2,1,03/06/20,26,497,2.81483871,40.60966491699219
-0.1122,0,2,1,2,03/07/20,27,631,2.81483871,37.72958183288574
-0.0177,1,1,0,1,03/08/20,31,827,2.81483871,36.28954029083252
-0.099588,0,3,3,4,03/09/20,35,1112,2.81483871,34.8494987487793
-0.12865230800000002,3,1,4,3,03/10/20,37,1551,2.81483871,37.535587310791016
0.018477,2,6,7,3,03/11/20,43,2053,2.81483871,35.54589080810547
0.031568345,3,5,10,5,03/12/20,51,2796,2.81483871,26.025203704833984
-0.022159397999999997,1,4,4,10,03/13/20,56,3745,2.81483871,27.258813858032227
-0.051128723,0,5,5,5,03/14/20,64,4727,2.81483871,25.045279502868652
-0.040980851,3,3,11,4,03/15/20,79,5915,2.81483871,23.938512325286865
-0.053391333,13,5,9,9,03/16/20,100,7772,2.81483871,22.831745147705078
-0.086160976,2,6,8,7,03/17/20,124,10021,2.81483871,21.75731086730957
-0.085236306,1,11,7,9,03/18/20,155,13385,2.81483871,12.007805824279785
-0.066231206,1,15,6,8,03/19/20,203,18085,2.81483871,17.25065040588379
-0.075388571,2,11,3,7,03/20/20,273,24197,2.81483871,20.12575912475586
-0.025854455,2,10,4,10,03/21/20,335,31013,2.81483871,20.424213409423828
-0.006978723,0,7,8,8,03/22/20,481,40167,2.81483871,20.573440551757812
-0.026619531000000002,2,6,14,8,03/23/20,582,51602,2.81483871,20.722667694091797
-0.134687778,0,23,19,7,03/24/20,820,62351,2.81483871,25.06020164489746
0.00252381,0,23,8,2,03/25/20,1058,75242,2.81483871,25.726749420166016
-0.07002027,2,16,8,7,03/26/20,1374,92976,2.81483871,29.686241149902344
0.065677033,1,17,7,10,03/27/20,1782,112220,2.81483871,27.029998779296875
-0.0624125,0,14,8,1,03/28/20,2333,131826,2.81483871,26.594999313354492
-0.1238496,1,19,8,2,03/29/20,2837,151270,2.81483871,26.3774995803833
-0.130540625,0,9,12,9,03/30/20,3425,172740,2.81483871,26.15999984741211
-0.08304958700000001,2,16,8,5,03/31/20,4332,197924,2.81483871,26.190000534057617
-0.1165,5,17,5,9,04/01/20,5336,224040,2.754444444,21.639999389648438
-0.09137456599999999,12,17,11,9,04/02/20,6514,252085,2.754444444,21.520000457763672
-0.13414722199999998,2,13,10,7,04/03/20,7799,283923,2.754444444,19.979999542236328
-0.1405824,0,19,8,9,04/04/20,9280,316808,2.754444444,21.234999656677246
-0.011649612,4,9,8,1,04/05/20,10619,342463,2.754444444,21.862499713897705
-0.033204217,3,3,7,5,04/06/20,11932,370872,2.754444444,22.489999771118164
-0.038659538,3,16,9,4,04/07/20,13976,401573,2.754444444,24.5
-0.080857576,1,17,7,3,04/08/20,15973,432490,2.754444444,25.649999618530273
-0.14093857099999998,1,11,11,6,04/09/20,18035,467580,2.754444444,28.3799991607666
-0.07829612400000001,1,12,1,1,04/10/20,20107,501069,2.754444444,27.589999198913574
-0.10621428599999999,3,22,6,3,04/11/20,22186,532174,2.754444444,27.19499921798706
-0.137938095,0,15,9,6,04/12/20,23886,560175,2.754444444,26.997499227523804
-0.11551629599999999,2,12,4,3,04/13/20,25516,584573,2.754444444,26.799999237060547
-0.083176259,5,16,4,8,04/14/20,27869,610651,2.754444444,27.1299991607666
-0.084788079,6,10,8,7,04/15/20,30415,640510,2.754444444,27.079999923706055
-0.059981045999999996,0,14,9,1,04/16/20,32612,672087,2.754444444,25.219999313354492
-0.073718792,3,24,6,3,04/17/20,34730,704069,2.754444444,25.75
-0.064509524,1,7,11,5,04/18/20,36621,731895,2.754444444,25.385000228881836
-0.040133333,1,8,3,3,04/19/20,38384,759174,2.754444444,25.202500343322754
-0.147066935,2,11,9,4,04/20/20,40199,785279,2.754444444,25.020000457763672
-0.026372992999999997,8,15,4,1,04/21/20,42680,811492,2.754444444,24.290000915527344
-0.11210896599999999,9,5,3,5,04/22/20,44762,840628,2.754444444,23.389999389648438
-0.11045039400000001,9,3,4,4,04/23/20,46576,872598,2.754444444,24.799999237060547
-0.025981752,11,14,7,3,04/24/20,48548,906872,2.754444444,25.770000457763672
-0.170512264,4,18,3,5,04/25/20,50175,942523,2.754444444,26.440000534057617
-0.11781978,2,9,10,5,04/26/20,51397,969581,2.754444444,26.77500057220459
-0.11018059699999999,5,14,15,12,04/27/20,52684,992176,2.754444444,27.110000610351562
-0.09701711699999999,4,12,3,5,04/28/20,54761,1017548,2.754444444,29.270000457763672
-0.075326923,3,16,4,3,04/29/20,57446,1043774,2.754444444,31.799999237060547
-0.041141667,4,7,7,3,04/30/20,59599,1073745,2.754444444,30.950000762939453
-0.034464286000000004,4,9,7,5,05/01/20,61407,1106547,2.83655914,27.219999313354492
-0.08819012300000001,4,5,6,4,05/02/20,62938,1135581,2.83655914,26.69499969482422
-0.101466265,1,14,7,2,05/03/20,64181,1161121,2.83655914,26.432499885559082
-0.036697196,7,6,3,2,05/04/20,65209,1183622,2.83655914,26.170000076293945
-0.101248837,3,15,8,3,05/05/20,67703,1206134,2.83655914,24.829999923706055
-0.149497727,5,18,3,2,05/06/20,69619,1231277,2.83655914,24.010000228881836
-0.050047,3,16,5,3,05/07/20,72371,1258504,2.83655914,24.06999969482422
-0.08660467300000001,2,10,4,7,05/08/20,74152,1285663,2.83655914,29.450000762939453
-0.075583784,3,7,3,4,05/09/20,75608,1310843,2.83655914,28.710000038146973
-0.066608696,2,9,4,2,05/10/20,76640,1331733,2.83655914,28.339999675750732
-0.056560674000000005,3,9,4,2,05/11/20,77534,1350031,2.83655914,27.969999313354492
-0.075010638,3,11,1,3,05/12/20,79040,1372589,2.83655914,25.90999984741211
-0.10813482099999999,5,10,6,7,05/13/20,80774,1394217,2.83655914,23.989999771118164
-0.055482243,3,5,6,2,05/14/20,82626,1420930,2.83655914,23.059999465942383
-0.054861957,6,10,3,2,05/15/20,83889,1446352,2.83655914,24.040000915527344
-0.017474648,4,6,5,5,05/16/20,85084,1469938,2.83655914,25.4950008392334
