TotalSentimentScore,Vaccine,Death,Shut,Spread,Date,Death_Count_Day,Positive_Count_Day
0.085861538,0,0,0,0,02/11/20,0,0
-0.098021429,2,3,1,1,02/12/20,0,0
-0.093166667,0,3,0,0,02/13/20,0,0
0.00919,0,1,2,1,02/14/20,0,0
0,1,0,0,0,02/15/20,0,0
-0.1998,0,0,1,0,02/16/20,0,0
-0.190725,1,0,0,0,02/17/20,0,0
-0.034313333,0,2,0,1,02/18/20,0,0
-0.1442625,0,0,0,1,02/19/20,0,0
-0.016272727,0,1,0,2,02/20/20,0,0
-0.1702,0,0,0,0,02/21/20,0,0
-0.0222375,3,1,1,0,02/22/20,0,0
0.013118182,0,0,0,0,02/23/20,0,0
-0.218641667,1,1,0,0,02/24/20,0,0
0.006063636,0,0,1,0,02/25/20,0,0
-0.090364706,1,2,0,1,02/26/20,2,0
0.043211111,2,0,1,3,02/27/20,2,0
-0.019488889,2,1,1,1,02/28/20,4,0
-0.131395349,0,9,0,1,02/29/20,5,18
-0.081322222,0,0,1,2,03/01/20,8,50
-0.117296774,2,1,2,3,03/02/20,11,94
-0.11209,0,3,0,2,03/03/20,14,145
-0.173153333,1,4,2,1,03/04/20,16,279
-0.0402525,0,5,0,4,03/05/20,20,367
-0.103,0,4,2,1,03/06/20,26,497
-0.1122,0,2,1,2,03/07/20,27,631
-0.0177,1,1,0,1,03/08/20,31,827
-0.099588,0,3,3,4,03/09/20,35,1112
-0.128652308,3,1,4,3,03/10/20,37,1551
0.018477,2,6,7,3,03/11/20,43,2053
0.031568345,3,5,10,5,03/12/20,51,2796
-0.022159398,1,4,4,10,03/13/20,56,3745
-0.051128723,0,5,5,5,03/14/20,64,4727
-0.040980851,3,3,11,4,03/15/20,79,5915
-0.053391333,13,5,9,9,03/16/20,100,7772
-0.086160976,2,6,8,7,03/17/20,124,10021
-0.085236306,1,11,7,9,03/18/20,155,13385
-0.066231206,1,15,6,8,03/19/20,203,18085
-0.075388571,2,11,3,7,03/20/20,273,24197
-0.025854455,2,10,4,10,03/21/20,335,31013
-0.006978723,0,7,8,8,03/22/20,481,40167
-0.026619531,2,6,14,8,03/23/20,582,51602
-0.134687778,0,23,19,7,03/24/20,820,62351
0.00252381,0,23,8,2,03/25/20,1058,75242
-0.07002027,2,16,8,7,03/26/20,1374,92976
0.065677033,1,17,7,10,03/27/20,1782,112220
-0.0624125,0,14,8,1,03/28/20,2333,131826
-0.1238496,1,19,8,2,03/29/20,2837,151270
-0.130540625,0,9,12,9,03/30/20,3425,172740
-0.083049587,2,16,8,5,03/31/20,4332,197924
-0.1165,5,17,5,9,04/01/20,5336,224040
-0.091374566,12,17,11,9,04/02/20,6514,252085
-0.134147222,2,13,10,7,04/03/20,7799,283923
-0.1405824,0,19,8,9,04/04/20,9280,316808
-0.011649612,4,9,8,1,04/05/20,10619,342463
-0.033204217,3,3,7,5,04/06/20,11932,370872
-0.038659538,3,16,9,4,04/07/20,13976,401573
